"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","EID"
"Sotiriou T.P.; Faraoni V.","Sotiriou, Thomas P. (12241384000); Faraoni, Valerio (57203233802)","12241384000; 57203233802","F (R) theories of gravity","2010","2907","10.1103/RevModPhys.82.451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951532013&doi=10.1103%2fRevModPhys.82.451&partnerID=40&md5=25494f8830221ba2c07cd89e0a238698","2-s2.0-77951532013"
"Fan X.; Strauss M.A.; Becker R.H.; White R.L.; Gunn J.E.; Knapp G.R.; Richards G.T.; Schneider D.P.; Brinkmann J.; Fukugita M.","Fan, Xiaohui (7403393837); Strauss, Michael A. (35353705800); Becker, Robert H. (57203505815); White, Richard L. (57202522381); Gunn, James E. (7201609049); Knapp, Gillian R. (7102951771); Richards, Gordon T. (7201583792); Schneider, Donald P. (7402111896); Brinkmann, J. (55405496600); Fukugita, Masataka (56240239200)","7403393837; 35353705800; 57203505815; 57202522381; 7201609049; 7102951771; 7201583792; 7402111896; 55405496600; 56240239200","Constraining the evolution of the ionizing background and the epoch of reionization with z ∼ 6 quasars. II. A sample of 19 quasars","2006","1079","10.1086/504836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749254456&doi=10.1086%2f504836&partnerID=40&md5=5079ef61990e0ab2491a6c2482f70093","2-s2.0-33749254456"
"Moore B.; Ghigna S.; Governato F.; Lake G.; Quinn T.; Stadel J.; Tozzi P.","Moore, Ben (7402320384); Ghigna, Sebastiano (6603600573); Governato, Fabio (7004261549); Lake, George (7006257494); Quinn, Thomas (7402746313); Stadel, Joachim (7004680980); Tozzi, Paolo (7006405769)","7402320384; 6603600573; 7004261549; 7006257494; 7402746313; 7004680980; 7006405769","Dark matter substructure within galactic halos","1999","2385","10.1086/312287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033543860&doi=10.1086%2f312287&partnerID=40&md5=380f054f1e4d8bcbc2f1eb28fcf0362d","2-s2.0-0033543860"
"Peng Y.-J.; Lilly S.J.; Kovač K.; Bolzonella M.; Pozzetti L.; Renzini A.; Zamorani G.; Ilbert O.; Knobel C.; Iovino A.; Maier C.; Cucciati O.; Tasca L.; Carollo C.M.; Silverman J.; Kampczyk P.; De Ravel L.; Sanders D.; Scoville N.; Contini T.; Mainieri V.; Scodeggio M.; Kneib J.-P.; Le Fèvre O.; Bardelli S.; Bongiorno A.; Caputi K.; Coppa G.; De La Torre S.; Franzetti P.; Garilli B.; Lamareille F.; Le Borgne J.-F.; Le Brun V.; Mignoli M.; Perez Montero E.; Pello R.; Ricciardelli E.; Tanaka M.; Tresse L.; Vergani D.; Welikala N.; Zucca E.; Oesch P.; Abbas U.; Barnes L.; Bordoloi R.; Bottini D.; Cappi A.; Cassata P.; Cimatti A.; Fumana M.; Hasinger G.; Koekemoer A.; Leauthaud A.; MacCagni D.; Marinoni C.; McCracken H.; Memeo P.; Meneux B.; Nair P.; Porciani C.; Presotto V.; Scaramell R.","Peng, Ying-Jie (25937428700); Lilly, Simon J. (35242659800); Kovač, Katarina (22835172100); Bolzonella, Micol (6602409206); Pozzetti, Lucia (8842216700); Renzini, Alvio (56253619200); Zamorani, Gianni (8042894900); Ilbert, Olivier (35239938700); Knobel, Christian (22835135000); Iovino, Angela (56234721400); Maier, Christian (22835532400); Cucciati, Olga (34569356300); Tasca, Lidia (22836724500); Carollo, C. Marcella (35241860000); Silverman, John (7202639214); Kampczyk, Pawel (22834734400); De Ravel, Loic (24447687000); Sanders, David (35401143000); Scoville, Nicholas (7005476593); Contini, Thierry (9335763100); Mainieri, Vincenzo (9733332900); Scodeggio, Marco (55174217600); Kneib, Jean-Paul (26643339300); Le Fèvre, Olivier (57205847331); Bardelli, Sandro (9334323500); Bongiorno, Angela (9535232800); Caputi, Karina (8554125200); Coppa, Graziano (25937197300); De La Torre, Sylvain (22940235700); Franzetti, Paolo (9535760600); Garilli, Bianca (56261365400); Lamareille, Fabrice (55325041400); Le Borgne, Jean-Francois (7005853135); Le Brun, Vincent (9333441000); Mignoli, Marco (8277154200); Perez Montero, Enrique (7801403926); Pello, Roser (55951225800); Ricciardelli, Elena (22836022800); Tanaka, Masayuki (57131302200); Tresse, Laurence (56234187800); Vergani, Daniela (14632583100); Welikala, Niraj (24167352500); Zucca, Elena (9333441800); Oesch, Pascal (23968339900); Abbas, Ummi (16506115500); Barnes, Luke (10039371300); Bordoloi, Rongmon (43360937600); Bottini, Dario (9533045100); Cappi, Alberto (9337037600); Cassata, Paolo (35241813600); Cimatti, Andrea (56260193000); Fumana, Marco (24173378000); Hasinger, Gunther (35371932100); Koekemoer, Anton (7004490233); Leauthaud, Alexei (22834640300); MacCagni, Dario (9534599800); Marinoni, Christian (9532361600); McCracken, Henry (8058520300); Memeo, Pierdomenico (23482250300); Meneux, Baptiste (9334133200); Nair, Preethi (7201717309); Porciani, Cristiano (57203270249); Presotto, Valentina (35325015600); Scaramell, Roberto (36615722700)","25937428700; 35242659800; 22835172100; 6602409206; 8842216700; 56253619200; 8042894900; 35239938700; 22835135000; 56234721400; 22835532400; 34569356300; 22836724500; 35241860000; 7202639214; 22834734400; 24447687000; 35401143000; 7005476593; 9335763100; 9733332900; 55174217600; 26643339300; 57205847331; 9334323500; 9535232800; 8554125200; 25937197300; 22940235700; 9535760600; 56261365400; 55325041400; 7005853135; 9333441000; 8277154200; 7801403926; 55951225800; 22836022800; 57131302200; 56234187800; 14632583100; 24167352500; 9333441800; 23968339900; 16506115500; 10039371300; 43360937600; 9533045100; 9337037600; 35241813600; 56260193000; 24173378000; 35371932100; 7004490233; 22834640300; 9534599800; 9532361600; 8058520300; 23482250300; 9334133200; 7201717309; 57203270249; 35325015600; 36615722700","Mass and environment as drivers of galaxy evolution in SDSS and cosmos and the origin of the Schechter function","2010","1414","10.1088/0004-637X/721/1/193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149235493&doi=10.1088%2f0004-637X%2f721%2f1%2f193&partnerID=40&md5=e5c6bf26d0cd950329e423e6b0dc9e74","2-s2.0-78149235493"
"Pettini M.; Pagel B.E.J.","Pettini, Max (35724438600); Pagel, Bernard E.J. (7004317605)","35724438600; 7004317605","[O III]/[N II] as an abundance indicator at high redshift","2004","1334","10.1111/j.1365-2966.2004.07591.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542327751&doi=10.1111%2fj.1365-2966.2004.07591.x&partnerID=40&md5=9dbe2d291a7ff71882728d2e6cfce537","2-s2.0-1542327751"
"Fixsen D.J.; Cheng E.S.; Gales J.M.; Mather J.C.; Shafer R.A.; Wright E.L.","Fixsen, D.J. (7005401881); Cheng, E.S. (57191737171); Gales, J.M. (6602230834); Mather, J.C. (7103373841); Shafer, R.A. (36814605200); Wright, E.L. (57203176050)","7005401881; 57191737171; 6602230834; 7103373841; 36814605200; 57203176050","The cosmic microwave background spectrum from the full cobe firas data set","1996","1209","10.1086/178173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0542417666&doi=10.1086%2f178173&partnerID=40&md5=82ba9e2463195ac9e287081b54b9569b","2-s2.0-0542417666"
"Scolnic D.M.; Jones D.O.; Rest A.; Pan Y.C.; Chornock R.; Foley R.J.; Huber M.E.; Kessler R.; Narayan G.; Riess A.G.; Rodney S.; Berger E.; Brout D.J.; Challis P.J.; Drout M.; Finkbeiner D.; Lunnan R.; Kirshner R.P.; Sanders N.E.; Schlafly E.; Smartt S.; Stubbs C.W.; Tonry J.; Wood-Vasey W.M.; Foley M.; Hand J.; Johnson E.; Burgett W.S.; Chambers K.C.; Draper P.W.; Hodapp K.W.; Kaiser N.; Kudritzki R.P.; Magnier E.A.; Metcalfe N.; Bresolin F.; Gall E.; Kotak R.; McCrum M.; Smith K.W.","Scolnic, D.M. (35185423600); Jones, D.O. (57206866827); Rest, A. (23996251400); Pan, Y.C. (57213376291); Chornock, R. (6701679391); Foley, R.J. (7102887401); Huber, M.E. (7202671925); Kessler, R. (7202074020); Narayan, G. (22835806700); Riess, A.G. (35275570700); Rodney, S. (8215077300); Berger, E. (24330628500); Brout, D.J. (55968047900); Challis, P.J. (7004555495); Drout, M. (35185031600); Finkbeiner, D. (7003774202); Lunnan, R. (36675275900); Kirshner, R.P. (35277140000); Sanders, N.E. (54394120200); Schlafly, E. (24167347400); Smartt, S. (7003820051); Stubbs, C.W. (7102179627); Tonry, J. (7005504231); Wood-Vasey, W.M. (35277437000); Foley, M. (7102557285); Hand, J. (57202436530); Johnson, E. (56272035800); Burgett, W.S. (6603331312); Chambers, K.C. (7007018277); Draper, P.W. (7102866690); Hodapp, K.W. (7003554262); Kaiser, N. (57203043901); Kudritzki, R.P. (35518427500); Magnier, E.A. (7004197698); Metcalfe, N. (56273561200); Bresolin, F. (7003577381); Gall, E. (55498259900); Kotak, R. (6603455710); McCrum, M. (55337068800); Smith, K.W. (55704520700)","35185423600; 57206866827; 23996251400; 57213376291; 6701679391; 7102887401; 7202671925; 7202074020; 22835806700; 35275570700; 8215077300; 24330628500; 55968047900; 7004555495; 35185031600; 7003774202; 36675275900; 35277140000; 54394120200; 24167347400; 7003820051; 7102179627; 7005504231; 35277437000; 7102557285; 57202436530; 56272035800; 6603331312; 7007018277; 7102866690; 7003554262; 57203043901; 35518427500; 7004197698; 56273561200; 7003577381; 55498259900; 6603455710; 55337068800; 55704520700","The Complete Light-curve Sample of Spectroscopically Confirmed SNe Ia from Pan-STARRS1 and Cosmological Constraints from the Combined Pantheon Sample","2018","1478","10.3847/1538-4357/aab9bb","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048311011&doi=10.3847%2f1538-4357%2faab9bb&partnerID=40&md5=3cbe87870ee59d217eadb3c4e596aef8","2-s2.0-85048311011"
"Hanany S.; Ade P.; Balbi A.; Bock J.; Borrill J.; Boscaleri A.; De Bernardis P.; Ferreira P.G.; Hristov V.V.; Jaffe A.H.; Lange A.E.; Lee A.T.; Mauskopf P.D.; Netterfield C.B.; Oh S.; Pascale E.; Rabii B.; Richards P.L.; Smoot G.F.; Stompor R.; Winant C.D.; Wu J.H.P.","Hanany, S. (6603664120); Ade, P. (7006368713); Balbi, A. (56227420000); Bock, J. (57206301128); Borrill, J. (35748580800); Boscaleri, A. (7003432181); De Bernardis, P. (7006520442); Ferreira, P.G. (57189231035); Hristov, V.V. (7003337096); Jaffe, A.H. (35415116200); Lange, A.E. (7202217031); Lee, A.T. (35310906100); Mauskopf, P.D. (7004552857); Netterfield, C.B. (6603689596); Oh, S. (56307022600); Pascale, E. (7004264570); Rabii, B. (6602756793); Richards, P.L. (7201484168); Smoot, G.F. (24497446500); Stompor, R. (7004294216); Winant, C.D. (7005555003); Wu, J.H.P. (7409251963)","6603664120; 7006368713; 56227420000; 57206301128; 35748580800; 7003432181; 7006520442; 57189231035; 7003337096; 35415116200; 7202217031; 35310906100; 7004552857; 6603689596; 56307022600; 7004264570; 6602756793; 7201484168; 24497446500; 7004294216; 7005555003; 7409251963","MAXIMA-1: A measurement of the cosmic microwave background anisotropy on angular scales of 10′-5°","2000","1068","10.1086/317322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040958646&doi=10.1086%2f317322&partnerID=40&md5=4fb6eb435398356355d3afd91ae39d46","2-s2.0-0040958646"
"Beutler F.; Blake C.; Colless M.; Jones D.H.; Staveley-Smith L.; Campbell L.; Parker Q.; Saunders W.; Watson F.","Beutler, Florian (43661056500); Blake, Chris (7102960950); Colless, Matthew (7003565885); Jones, D. Heath (55492031300); Staveley-Smith, Lister (56262550100); Campbell, Lachlan (7403165885); Parker, Quentin (7004681629); Saunders, Will (7101753699); Watson, Fred (7101670860)","43661056500; 7102960950; 7003565885; 55492031300; 56262550100; 7403165885; 7004681629; 7101753699; 7101670860","The 6dF Galaxy Survey: Baryon acoustic oscillations and the local Hubble constant","2011","1814","10.1111/j.1365-2966.2011.19250.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052966744&doi=10.1111%2fj.1365-2966.2011.19250.x&partnerID=40&md5=6c7617310a5c94ca0d7d2e74c421fae2","2-s2.0-80052966744"
"Bennett C.L.; Halpern M.; Hinshaw G.; Jarosik N.; Kogut A.; Limon M.; Meyer S.S.; Page L.; Spergel D.N.; Tucker G.S.; Wollack E.; Wright E.L.; Barnes C.; Greason M.R.; Hill R.S.; Komatsu E.; Nolta M.R.; Odegard N.; Peiris H.V.; Verde L.; Weiland J.L.","Bennett, C.L. (57206919239); Halpern, M. (7201463120); Hinshaw, G. (57204302092); Jarosik, N. (6701768310); Kogut, A. (24833209700); Limon, M. (57194133671); Meyer, S.S. (7402775091); Page, L. (55533003000); Spergel, D.N. (7007108870); Tucker, G.S. (7202603773); Wollack, E. (35546436100); Wright, E.L. (57203176050); Barnes, C. (55415112400); Greason, M.R. (6603313965); Hill, R.S. (55451541600); Komatsu, E. (7003611230); Nolta, M.R. (6602398036); Odegard, N. (6602365109); Peiris, H.V. (23991274600); Verde, L. (7003944328); Weiland, J.L. (36858905700)","57206919239; 7201463120; 57204302092; 6701768310; 24833209700; 57194133671; 7402775091; 55533003000; 7007108870; 7202603773; 35546436100; 57203176050; 55415112400; 6603313965; 55451541600; 7003611230; 6602398036; 6602365109; 23991274600; 7003944328; 36858905700","First-year Wilkinson Microwave Anisotropy Probe (WMAP) observations: Preliminary maps and basic results","2003","4012","10.1086/377253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142053792&doi=10.1086%2f377253&partnerID=40&md5=c840a3dc609857ff006b9ab9e2fd2757","2-s2.0-0142053792"
"Guth A.H.","Guth, Alan H. (57225404965)","57225404965","Inflationary universe: A possible solution to the horizon and flatness problems","1981","7743","10.1103/PhysRevD.23.347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744732338&doi=10.1103%2fPhysRevD.23.347&partnerID=40&md5=9963f2f68d262f402b60bf33d7c167f9","2-s2.0-33744732338"
"Seljak U.; Zaldarriaga M.","Seljak, Uroš (35351792100); Zaldarriaga, Matias (7004526215)","35351792100; 7004526215","A line-of-sight integration approach to cosmic microwave background anisotropies","1996","1728","10.1086/177793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0008878002&doi=10.1086%2f177793&partnerID=40&md5=559ffd758edf892dee50ca0f42e101c3","2-s2.0-0008878002"
"Freedman W.L.; Madore B.F.; Gibson B.K.; Ferrarese L.; Kelson D.D.; Sakai S.; Mould J.R.; Kennicutt Jr. R.C.; Ford H.C.; Graham J.A.; Huchra J.P.; Hughes S.M.G.; Illingworth G.D.; Macri L.M.; Stetson P.B.","Freedman, Wendy L. (35248104800); Madore, Barry F. (35227678600); Gibson, Brad K. (57203059498); Ferrarese, Laura (35329411100); Kelson, Daniel D. (35449710900); Sakai, Shoko (55436067500); Mould, Jeremy R. (57218887975); Kennicutt Jr., Robert C. (12801438900); Ford, Holland C. (7201746765); Graham, John A. (36858233500); Huchra, John P. (7005532021); Hughes, Shaun M.G. (14062108000); Illingworth, Garth D. (35330006400); Macri, Lucas M. (36814094500); Stetson, Peter B. (35738085300)","35248104800; 35227678600; 57203059498; 35329411100; 35449710900; 55436067500; 57218887975; 12801438900; 7201746765; 36858233500; 7005532021; 14062108000; 35330006400; 36814094500; 35738085300","Final results from the Hubble Space Telescope key project to measure the Hubble constant","2001","2665","10.1086/320638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035918620&doi=10.1086%2f320638&partnerID=40&md5=19e8e2060abd7577129d27b1944af34f","2-s2.0-0035918620"
"Amanullah R.; Lidman C.; Rubin D.; Aldering G.; Astier P.; Barbary K.; Burns M.S.; Conley A.; Dawson K.S.; Deustua S.E.; Doi M.; Fabbro S.; Faccioli L.; Fakhouri H.K.; Folatelli G.; Fruchter A.S.; Furusawa H.; Garavini G.; Goldhaber G.; Goobar A.; Groom D.E.; Hook I.; Howell D.A.; Kashikawa N.; Kim A.G.; Knop R.A.; Kowalski M.; Linder E.; Meyers J.; Morokuma T.; Nobili S.; Nordin J.; Nugent P.E.; Stman L.; Pain R.; Panagia N.; Perlmutter S.; Raux J.; Ruiz-Lapuente P.; Spadafora A.L.; Strovink M.; Suzuki N.; Wang L.; Wood-Vasey W.M.; Yasuda N.","Amanullah, R. (6602635278); Lidman, C. (7003444700); Rubin, D. (16550958400); Aldering, G. (7004153046); Astier, P. (56213940800); Barbary, K. (16549165900); Burns, M.S. (7201870619); Conley, A. (57202805168); Dawson, K.S. (14824427000); Deustua, S.E. (6603714566); Doi, M. (7201918513); Fabbro, S. (6602946370); Faccioli, L. (22978971800); Fakhouri, H.K. (35111099200); Folatelli, G. (6505869744); Fruchter, A.S. (7006945614); Furusawa, H. (7006014703); Garavini, G. (6507203727); Goldhaber, G. (16197057700); Goobar, A. (7004653885); Groom, D.E. (22966748000); Hook, I. (7006022077); Howell, D.A. (16636500200); Kashikawa, N. (56981914700); Kim, A.G. (7402063381); Knop, R.A. (7004108768); Kowalski, M. (55127695200); Linder, E. (7103084146); Meyers, J. (43361671500); Morokuma, T. (6603067356); Nobili, S. (6602524023); Nordin, J. (23973286900); Nugent, P.E. (7004614529); Stman, L. (35276164700); Pain, R. (7102603404); Panagia, N. (35400629400); Perlmutter, S. (35273021600); Raux, J. (8604666500); Ruiz-Lapuente, P. (7004163809); Spadafora, A.L. (7004318281); Strovink, M. (35228101800); Suzuki, N. (7404604065); Wang, L. (57202139244); Wood-Vasey, W.M. (35277437000); Yasuda, N. (7202855579)","6602635278; 7003444700; 16550958400; 7004153046; 56213940800; 16549165900; 7201870619; 57202805168; 14824427000; 6603714566; 7201918513; 6602946370; 22978971800; 35111099200; 6505869744; 7006945614; 7006014703; 6507203727; 16197057700; 7004653885; 22966748000; 7006022077; 16636500200; 56981914700; 7402063381; 7004108768; 55127695200; 7103084146; 43361671500; 6603067356; 6602524023; 23973286900; 7004614529; 35276164700; 7102603404; 35400629400; 35273021600; 8604666500; 7004163809; 7004318281; 35228101800; 7404604065; 57202139244; 35277437000; 7202855579","Spectra and hubble space telescope light curves of six typE Ia supernovae at 0.511 < z < 1.12 and the union2 compilation","2010","1121","10.1088/0004-637X/716/1/712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952936874&doi=10.1088%2f0004-637X%2f716%2f1%2f712&partnerID=40&md5=11f45e5af9c2a50c8c88bdba07072c3c","2-s2.0-77952936874"
"Steidel C.C.; Giavalisco M.; Pettini M.; Dickinson M.; Adelberger K.L.","Steidel, Charles C. (35318915600); Giavalisco, Mauro (7004415859); Pettini, Max (35724438600); Dickinson, Mark (35419102600); Adelberger, Kurt L. (7004299393)","35318915600; 7004415859; 35724438600; 35419102600; 7004299393","Spectroscopic confirmation of a population of normal star-forming galaxies at redshifts z <3","1996","1062","10.1088/1538-4357/462/1/l17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001931938&doi=10.1088%2f1538-4357%2f462%2f1%2fl17&partnerID=40&md5=29ab4dfed0b0cbe3755bf95f60f91892","2-s2.0-0001931938"
"Smoot G.F.; Bennett C.L.; Kogut A.; Wright E.L.; Aymon J.; Boggess N.W.; Cheng E.S.; De Amici G.; Gulkis S.; Hauser M.G.; Hinshaw G.; Jackson P.D.; Janssen M.; Kaita E.; Kelsall T.; Keegstra P.; Lineweaver C.; Loewenstein K.; Lubin P.; Mather J.; Meyer S.S.; Moseley S.H.; Murdock T.; Rokke L.; Silverberg R.F.; Tenorio L.; Weiss R.; Wilkinson D.T.","Smoot, G.F. (24497446500); Bennett, C.L. (57206919239); Kogut, A. (24833209700); Wright, E.L. (57203176050); Aymon, J. (6507397131); Boggess, N.W. (6603947125); Cheng, E.S. (57191737171); De Amici, G. (6603725955); Gulkis, S. (7004068696); Hauser, M.G. (55976722700); Hinshaw, G. (57204302092); Jackson, P.D. (55724025600); Janssen, M. (55547120839); Kaita, E. (6602612576); Kelsall, T. (7004836544); Keegstra, P. (43961189800); Lineweaver, C. (6701492092); Loewenstein, K. (43961197600); Lubin, P. (7004243122); Mather, J. (7103373841); Meyer, S.S. (7402775091); Moseley, S.H. (7006404868); Murdock, T. (7004029524); Rokke, L. (43961547800); Silverberg, R.F. (7005894024); Tenorio, L. (7003878014); Weiss, R. (35278927800); Wilkinson, D.T. (7401870096)","24497446500; 57206919239; 24833209700; 57203176050; 6507397131; 6603947125; 57191737171; 6603725955; 7004068696; 55976722700; 57204302092; 55724025600; 55547120839; 6602612576; 7004836544; 43961189800; 6701492092; 43961197600; 7004243122; 7103373841; 7402775091; 7006404868; 7004029524; 43961547800; 7005894024; 7003878014; 35278927800; 7401870096","Structure in the COBE differential microwave radiometer first-year maps","1992","2203","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345688825&partnerID=40&md5=a96ca4a9f7643e54be520ac4aa343801","2-s2.0-0345688825"
"Bond J.R.; Cole S.; Efstathiou G.; Kaiser N.","Bond, J.R. (55662855000); Cole, S. (7401503506); Efstathiou, G. (7005694698); Kaiser, N. (57203043901)","55662855000; 7401503506; 7005694698; 57203043901","Excursion set mass functions for hierarchical Gaussian fluctuations","1991","1456","10.1086/170520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000594256&doi=10.1086%2f170520&partnerID=40&md5=00a77f6980e7666bbce94574b3fc8faf","2-s2.0-0000594256"
"Navarro J.F.; Frenk C.S.; White S.D.M.","Navarro, Julio F. (7402580058); Frenk, Carlos S. (57203255083); White, Simon D. M. (16199171600)","7402580058; 57203255083; 16199171600","A universal density profile from hierarchical clustering","1997","7555","10.1086/304888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21944443104&doi=10.1086%2f304888&partnerID=40&md5=ccc2ee81fb82aa36a4df54ecc2362a2b","2-s2.0-21944443104"
"Mo H.J.; White S.D.M.","Mo, H.J. (57207906801); White, S.D.M. (16199171600)","57207906801; 16199171600","An analytic model for the spatial clustering of dark matter haloes","1996","1221","10.1093/mnras/282.2.347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542712787&doi=10.1093%2fmnras%2f282.2.347&partnerID=40&md5=b76d9afb4f682640aee3ce1a2250450b","2-s2.0-1542712787"
"Eisenstein D.J.; Wayne H.U.","Eisenstein, Daniel J. (35354467100); Wayne, H.U. (7404359871)","35354467100; 7404359871","Baryonic features in the matter transfer function","1998","1664","10.1086/305424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9344247944&doi=10.1086%2f305424&partnerID=40&md5=468a91456887d547e7a6661167e5e7f8","2-s2.0-9344247944"
"Arkani-Hamed N.","Arkani-Hamed, Nima (7003961428)","7003961428","Phenomenology, astrophysics, and cosmology of theories with submillimeter dimensions and TeV scale quantum gravity","1999","2220","10.1103/PhysRevD.59.086004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922264990&doi=10.1103%2fPhysRevD.59.086004&partnerID=40&md5=afe2633ba8dddeb1c989b5f339fd5789","2-s2.0-84922264990"
"Wetterich C.","Wetterich, C. (7005344719)","7005344719","Cosmology and the fate of dilatation symmetry","1988","2282","10.1016/0550-3213(88)90193-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10044279397&doi=10.1016%2f0550-3213%2888%2990193-9&partnerID=40&md5=747459c73a17804b2f0f301d78fcf5ee","2-s2.0-10044279397"
"Ma C.-P.; Bertschinger E.","Ma, Chung-Pei (7402924785); Bertschinger, Edmund (7003574440)","7402924785; 7003574440","Cosmological perturbation theory in the synchronous and conformal Newtonian gauges","1995","1478","10.1086/176550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11944256794&doi=10.1086%2f176550&partnerID=40&md5=f001a5484534a4831dee752b93ddd270","2-s2.0-11944256794"
"Haardt F.; Madau P.","Haardt, Francesco (7003612876); Madau, Piero (57204305615)","7003612876; 57204305615","Radiative transfer in a clumpy universe. II. The ultraviolet extragalactic background","1996","1288","10.1086/177035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21344449442&doi=10.1086%2f177035&partnerID=40&md5=2c9d84240df21bf1f948d1ab1a44a745","2-s2.0-21344449442"
"Vogelsberger M.; Genel S.; Springel V.; Torrey P.; Sijacki D.; Xu D.; Snyder G.; Nelson D.; Hernquist L.","Vogelsberger, Mark (25638011000); Genel, Shy (24448082300); Springel, Volker (7003307156); Torrey, Paul (36186251900); Sijacki, Debora (57203052823); Xu, Dandan (56299157000); Snyder, Greg (57211850448); Nelson, Dylan (55603546900); Hernquist, Lars (57203088154)","25638011000; 24448082300; 7003307156; 36186251900; 57203052823; 56299157000; 57211850448; 55603546900; 57203088154","Introducing the illustris project: Simulating the coevolution of dark and visible matter in the universe","2014","1598","10.1093/mnras/stu1536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913618569&doi=10.1093%2fmnras%2fstu1536&partnerID=40&md5=38d0829cc4cd774beda1dd4ce1d5a075","2-s2.0-84913618569"
"Teyssier R.","Teyssier, R. (6701718244)","6701718244","Cosmological hydrodynamics with adaptive mesh refinement: A new high resolution code called RAMSES","2002","1499","10.1051/0004-6361:20011817","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036534087&doi=10.1051%2f0004-6361%3a20011817&partnerID=40&md5=351bfc729a9da7951b0d5a0b2bc2b5dc","2-s2.0-0036534087"
"Springel V.","Springel, Volker (7003307156)","7003307156","E pur si muove: Galilean-invariant cosmological hydrodynamical simulations on a moving mesh","2010","1422","10.1111/j.1365-2966.2009.15715.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73649141343&doi=10.1111%2fj.1365-2966.2009.15715.x&partnerID=40&md5=b4baba4eabf879c288068397fa377fc9","2-s2.0-73649141343"
